Rank,Title
1,WalMart Stores Inc.
2,Exxon Mobil Corporation
3,Chevron Corporation
4,General Motors Corporation
5,ConocoPhillips
6,General Electric Company
7,Ford Motor Company
8,Citigroup Inc.
9,Bank of America Corporation
10,AT&T Inc.
11,Berkshire Hathaway Inc.
12,J.P. Morgan Chase & Co.
13,American International GroupInc.
14,Hewlett-Packard Company
15,International Business Machines Corporation
16,Valero Energy Corporation
17,Verizon Communications Inc.
18,McKesson Corporation
19,Cardinal Health Inc.
20,The Goldman Sachs Group Inc.
21,Morgan Stanley
22,The Home Depot Inc.
23,The Procter & Gamble Company
24,CVS Caremark Corporation
25,UnitedHealth Group Incorporated
26,The Kroger Company
27,The Boeing Company
28,AmerisourceBergen Corp.
29,Costco Wholesale Corporation
30,Merrill Lynch & Co. Inc.
31,Target Corporation
32,State Farm Insurance Cos.
33,WellPoint Inc.
34,Dell Inc.
35,Johnson & Johnson
36,Marathon Oil Corporation
37,Lehman Brothers Holdings Inc.
38,Wachovia Corporation
39,United Technologies Corporation
40,Walgreen Co.
41,Wells Fargo & Company
42,The Dow Chemical Company
43,MetLife Inc.
44,Microsoft Corporation
45,Sears Holdings Corporation
46,United Parcel Service Inc.
47,Pfizer Inc.
48,Lowe’s Companies Inc.
49,Time Warner Inc.
50,Caterpillar Inc.
51,Medco Health Solutions Inc.
52,Archer-Daniels-Midland Company
53,Fannie Mae
54,Freddie Mac
55,Safeway Inc.
56,Sunoco Inc.
57,Lockheed Martin Corporation
58,Sprint Nextel Corporation
59,PepsiCo Inc.
60,Intel Corporation
61,Altria Group Inc.
62,Supervalu Inc.
63,Kraft Foods Inc.
64,The Allstate Corporation
65,Motorola Inc.
66,Best Buy Co. Inc.
67,The Walt Disney Company
68,FedEx Corporation
69,Ingram Micro Inc.
70,Sysco Corporation
71,Cisco Systems Inc.
72,Johnson Controls Inc.
73,Honeywell International Inc.
74,Prudential Financial Inc.
75,American Express Company
76,Northrop Grumman Corporation
77,Hess Corp.
78,GMAC LLC
79,Comcast Corporation
80,Alcoa Inc.
81,E.I. du Pont de Nemours and Company
82,New York Life Insurance Company
83,The Coca-Cola Company
84,News Corporation
85,Aetna Inc.
86,Teachers Insurance and Annuity Association College Retiremen
87,General Dynamics Corporation
88,Tyson Foods Inc.
89,HCA Inc
90,Enterprise GP Holdings L.P.
91,Macy’s Inc.
92,Delphi Corporation
93,The Travelers Companies Inc.
94,Liberty Mutual Holding Company Inc.
95,The Hartford Financial Services Group Inc.
96,Abbott Laboratories
97,Washington Mutual Inc.
98,Humana Inc.
99,Massachusetts Financial Group
100,3M Company
101,Merck & Co. Inc.
102,Deere & Company
103,Apple  Inc.
104,Countrywide Financial Corporation
105,Tech Data Corporation
106,McDonald’s Corporation
107,Publix Super Markets Inc.
108,Nationwide Mutual Insurance Co.
109,AMR Corporation
110,Northwestern Mutual Life Insurance Company
111,Emerson Electric Co.
112,Raytheon Company
113,Wyeth
114,International Paper Company
115,Electronic Data Systems Corporation
116,Tesoro Corporation
117,Constellation Energy Group Inc.
118,Coca-Cola Enterprises Inc.
119,Goodyear Tire & Rubber Company
120,Manpower Inc.
121,Plains All American Pipeline L.P.
122,U.S. Bancorp
123,Occidental Petroleum Corporation
124,UAL Corporation
125,Bristol-Myers Squibb Company
126,J.C. Penney Company Inc.
127,Whirlpool Corporation
128,Staples Inc.
129,Delta Air Lines Inc.
130,Capital One Financial Corporation
131,Exelon Corporation
132,The TJX Companies Inc.
133,Eli Lilly and Company
134,Murphy Oil Corporation
135,Express Scripts Inc.
136,Kimberly-Clark Corporation
137,Oracle Corporation
138,Autonation Inc.
139,Loews Corporation
140,Freeport-McMoRan Copper & Gold Inc.
141,CIGNA Corporation
142,Rite Aid Corporation
143,The DirecTV Group Inc.
144,Xerox Corporation
145,CHS Inc.
146,United States Steel Corporation
147,Weyerhaeuser Company
148,Fluor Corporation
149,Anheuser-Busch Companies Inc.
150,Google Inc.
151,Nucor Corporation
152,Kohl’s Corporation
153,Nike Inc.
154,Union Pacific Corporation
155,Illinois Tool Works Inc.
156,The Bear Stearns Companies Inc.
157,Lear Corporation
158,Arrow Electronics Inc
159,Anadarko Petroleum Corp.
160,Burlington Northern Santa Fe Corp.
161,Dominion Resources Inc.
162,The Gap Inc.
163,Avnet Inc.
164,Office Depot Inc.
165,AFLAC Incorporated
166,The Southern Company
167,Halliburton Company
168,FPL Group Inc.
169,PACCAR Inc
170,Computer Sciences Corporation
171,Amazon.Com Inc.
172,The Bank of New York Mellon Corporation
173,Amgen Inc
174,TRW Automotive Holdings Corp.
175,The Progressive Corporation
176,United Services Automobile Association
177,Centex Corporation
178,Continental Airlines Inc.
179,Health Net Inc.
180,The Chubb Corporation
181,CBS Corporation
182,L-3 Communications Holdings Inc.
183,The AES Corporation
184,Sun Microsystems Inc.
185,Texas Instruments Incorporated
186,Colgate-Palmolive Company
187,Qwest Communications International Inc.
188,World Fuel Services Corporation
189,Toys “R” Us Inc.
190,The Pepsi Bottling Group Inc.
191,Viacom Inc.
192,Oneok Inc.
193,SunTrust Banks Inc.
194,Penske Automotive Group Inc.
195,Consolidated Edison Inc.
196,American Electric Power Company Inc.
197,Marriott International Inc.
198,Public Service Enterprise Group Inc.
199,Waste Management Inc.
200,PG&E Corporation
201,EMC Corporation
202,Textron Inc.
203,Sara Lee Corporation
204,Duke Energy Corporation
205,Edison International
206,Cummins
207,Eaton Corporation
208,The Williams Companies Inc.
209,FirstEnergy Corp.
210,ConAgra Foods Incorporated
211,Omnicom Group Inc.
212,Schering-Plough Corporation
213,Northwest Airlines Corporation
214,General Mills Inc.
215,Circuit City Stores Inc.
216,Aramark Corporation
217,PPG Industries Inc.
217,Medtronic Inc.
219,Jabil Circuit Inc.
220,Marsh & McLennan Companies Inc.
221,Devon Energy Corporation
222,Smithfield Foods Inc.
223,Masco Corporation
224,Dean Foods Company
225,State Street Corporation
226,National City Corporation
227,Kellogg Company
228,US Airways Group Inc.
229,R.R. Donnelley & Sons Company
230,Knight Inc.
231,Entergy Corporation
232,Sempra Energy
233,Genworth Financial  Inc.
234,Visteon Corporation
235,D.R. Horton Inc.
236,Baxter International Inc.
237,Reliant Energy Inc.
238,Eastman Kodak Company
239,Danaher Corporation
240,DISH Network Corporation
241,Trane Inc.
242,Principal Financial Group Inc.
243,Genuine Parts Company
244,Harrah’s Entertainment Inc.
245,Regions Financial Corporation
246,Lincoln National Corporation
247,Parker-Hannifin Corporation
248,Progress Energy Inc.
249,Huntsman Corporation
250,BB&T Corporation
251,Unum Group
252,Baker Hughes Incorporated
253,Yum! Brands Inc.
254,Integrys Energy Group Inc.
255,Sanmina-SCI Corporation
256,Lennar Corporation
257,Limited Brands Inc.
258,Air Products & Chemicals Inc.
259,Guardian Life Ins. Co. of America
260,Xcel Energy Inc.
261,CSX Corporation
262,Apache Corporation
263,Aon Corporation
264,The PNC Financial Services Group Inc.
265,Avon Products Inc.
266,Coventry Health Care Inc.
267,Southwest Airlines Co.
268,National Oilwell Varco Inc.
269,Thermo Fisher Scientific Inc.
270,Applied Materials Inc.
271,CenterPoint Energy Inc.
272,YRC Worldwide Inc.
273,DTE Energy Company
274,Dollar General Corporation
275,Liberty Media Corporation
276,Norfolk Southern Corporation
277,Starbucks Corporation
278,Praxair Inc.
279,Pepco Holdings Inc.
280,Tenet Healthcare Corporation
281,Automatic Data Processing Inc.
282,Pulte Homes Inc.
283,Dana Holding Corporation
284,KBR Inc.
285,ITT Corporation
286,SLM Corporation
287,Terex Corporation
288,OfficeMax Incorporated
289,SAIC Inc.
290,Reynolds American Inc.
291,BJ’s Wholesale Club Inc.
292,Liberty Global Inc.
293,H.J. Heinz Company
294,Land O’Lakes Inc.
295,Rohm and Haas Company
296,Ameriprise Financial Inc.
297,Qualcomm Inc.
298,Sonic Automotive Inc.
299,Nordstrom Inc.
300,ALLTEL Corporation
301,ArvinMeritor Inc.
302,Smith International Inc.
303,Commercial Metals Company
304,Hertz Global Holdings Inc.
305,Monsanto Company
306,CIT Group Inc.
307,Fifth Third Bancorp
308,Jacobs Engineering Group Inc.
309,Assurant Inc.
310,Boston Scientific Corporation
311,Fortune Brands Inc.
312,The First American Corporation
313,Virgin Media Inc.
314,Owens-Illinois Inc.
315,First Data Corporation
316,The Sherwin-Williams Company
317,Energy Future Holdings Corp.
318,Calpine Corporation
319,NiSource Inc.
320,Campbell Soup Co.
321,KeyCorp
322,Ashland Inc.
323,MGM MIRAGE
324,Chesapeake Energy Corporation
325,Crown Holdings Inc.
326,eBay Inc.
327,Pilgrim’s Pride Corporation
328,Mohawk Industries Inc.
329,Ameren Corporation
330,Community Health Systems Inc.
331,Dover Corporation
332,Gannett Co. Inc.
333,CarMax Inc.
334,Smurfit-Stone Container Corporation
335,V.F. Corporation
336,Ball Corporation
337,Eastman Chemical Company
338,Dillard’s Inc.
339,Clear Channel Communications Inc.
340,KB Home
341,C. H. Robinson Worldwide Inc.
342,Western Refining Inc.
343,Enbridge Energy Partners L.P.
344,Targa Resources Inc.
345,Reliance Steel & Aluminum Co.
346,PPL Corporation
347,Winn-Dixie Stores Inc.
348,GameStop Corp.
350,Synnex Corp.
351,AK Steel Holding Corporation
352,American Family Ins. Group
353,Yahoo! Inc.
354,Dole Food Company Inc.
355,Federal-Mogul Corporation
356,MeadWestvaco Corporation
357,The Great Atlantic & Pacific Tea Company Inc.
358,Family Dollar Stores Inc.
359,AGCO Corporation
360,Owens & Minor Inc.
361,Energy Transfer Equity L.P.
362,The McGraw-Hill Companies Inc.
363,Autoliv Inc.
364,Global Partners LP
365,Quest Diagnostics Incorporated
366,CMS Energy Corporation
367,Celanese Corporation
368,Bed Bath & Beyond Inc.
369,Whole Foods Market Inc.
370,IAC/INTERACTIVECORP
371,Ryder System Inc.
372,The Black & Decker Corporation
373,The Interpublic Group of Companies Inc.
374,Cablevision Systems Corporation
375,Goodrich Corporation
376,Aleris International Inc.
377,W.W. Grainger Inc.
378,Newell Rubbermaid Inc.
379,Group 1 Automotive Inc.
380,Becton Dickinson and Company
381,Embarq Corporation
382,Avery Dennison Corporation
383,Oshkosh Corporation
384,Performance Food Group Company
385,Peter Kiewit Sons’ Inc.
386,Omnicare Inc.
387,ProLogis
388,Safeco Corporation
389,Franklin Resources Inc.
390,Hormel Foods Corporation
391,NCR Corporation
392,Molson Coors Brewing Company
393,Tenneco Inc.
394,AutoZone Inc.
395,TravelCenters of America LLC
396,Starwood Hotels & Resorts Worldwide Inc.
397,Harley-Davidson Inc.
398,Thrivent Financial for Lutherans
399,Pitney Bowes Inc.
400,Allied Waste Industries Inc.
401,Stryker Corporation
402,The Charles Schwab Corporation
403,NRG Energy Inc.
404,CB Richard Ellis Group Inc.
405,The Pantry Inc.
406,Advanced Micro Devices Inc.
407,Emcor Group Inc.
408,WESCO International Inc.
409,Charter Communications Inc.
410,Henry Schein Inc.
411,Avis Budget Group Inc.
412,Ross Stores Inc.
413,Mattel Inc.
414,Realogy Corporation
415,Darden Restaurants Inc.
416,Atmos Energy Corporation
417,Corning Inc.
418,Anixter International Inc.
419,Northeast Utilities
420,Hexion Specialty Chemicals Inc.
421,Asbury Automotive Group Inc.
422,The Mosaic Company
423,Affiliated Computer Services Inc.
424,Brunswick Corporation
425,Marshall & Ilsley Corporation
426,The Shaw Group Inc.
427,Micron Technology Inc.
428,Kelly Services Inc.
429,Unisys Corporation
430,Newmont Mining Corporation
431,Owens Corning
432,Peabody Energy Corporation
433,W.R. Berkley Corporation
434,Blockbuster Inc.
435,Fidelity National Financial Inc.
436,XTO Energy Inc.
437,UGI Corporation
438,Ecolab Inc.
439,Western Digital Corporation
440,Host Hotels & Resorts Inc.
441,Allegheny Technologies Inc.
442,Foot Locker Inc.
443,Agilent Technologies Inc.
444,Precision Castparts Corporation
445,Boise Cascade Holdings L.L.C.
446,Barnes & Noble Inc.
447,Northern Trust Corporation
448,Wm. Wrigley Jr. Company
449,URS Corporation
450,Rockwell Automation Inc.
451,BorgWarner Inc.
452,Pacific Life
453,Longs Drug Stores Corporation
454,DaVita Inc.
455,Graybar Electric Company Inc.
456,Leggett & Platt Incorporated
457,The Timken Company
458,Expeditors International of Washington Inc.
459,Constellation Brands Inc.
460,USG Corporation
461,Symantec Corporation
462,Frontier Oil Corporation
463,Energy East Corporation
464,NVR Inc.
465,Auto-Owners Insurance Group
466,SPX Corporation
467,Tribune Company
468,Fiserv Inc.
469,Sovereign Bancorp Inc.
470,Lexmark International Inc.
471,The Hershey Company
472,SunGard Data Systems Inc.
