Rank,Title,
1,WalMart Stores Inc.,
2,Exxon Mobil,
3,Chevron,
4,Berkshire Hathaway,
5,Apple,
6,Phillips 66,
7,General Motors,
8,Ford Motor,
9,General Electric,
10,Valero Energy,
11,AT&T,
12,CVS Caremark,
13,Fannie Mae,
14,UnitedHealth Group,
15,McKesson,
16,Verizon Communications,
17,Hewlett-Packard,
18,J.P. Morgan Chase & Co.,
19,Costco Wholesale,
20,Express Scripts Holding,
21,Bank of America,
22,Cardinal Health,
23,International Business Machines,
24,Kroger,
25,Marathon Petroleum,
26,Citigroup,
27,Archer Daniels Midland,
28,AmerisourceBergen,
29,Wells Fargo,
30,Boeing,
31,Procter & Gamble,
32,Freddie Mac,
33,Home Depot,
34,Microsoft,
35,Amazon.com,
36,Target,
37,Walgreen Co.,
38,WellPoint,
39,Johnson & Johnson,
40,American International Group,
41,State Farm Insurance Cos.,
42,MetLife,
43,PepsiCo,
44,Comcast,
45,United Technologies,
46,Google,
47,ConocoPhillips,
48,Dow Chemical,
49,Caterpillar,
50,United Parcel Service,
51,Pfizer,
52,Lowe’s Companies,
53,Intel Corporation,
54,Energy Transfer Equity L.P.,
55,Cisco Systems Inc.,
56,Enterprise Products Partners L.P.,
57,Aetna Inc.,
58,The Coca-Cola Company,
59,Lockheed Martin Corporation,
60,Best Buy Co. Inc.,
61,The Walt Disney Company,
62,CHS Inc.,
63,Sysco Corporation,
64,FedEx Corporation,
65,Merck & Co. Inc.,
66,INTL FCStone Inc.,
67,Safeway Inc.,
68,Johnson Controls Inc.,
69,Ingram Micro Inc.,
70,Plains GP Holdings L.P.,
71,World Fuel Services Corporation,
72,Prudential Financial Inc.,
73,Humana Inc.,
74,The Goldman Sachs Group Inc.,
75,Tesoro Corporation,
76,Liberty Mutual Holding Company Inc.,
77,Honeywell International Inc.,
78,United Continental Holdings Inc.,
79,HCA Holdings Inc.,
80,Deere & Company,
81,Delta Air Lines Inc.,
82,Oracle Corporation,
83,Morgan Stanley,
84,Hess Corporation,
85,Twenty-First Century Fox Inc.,
86,E.I. du Pont de Nemours and Company,
87,Sears Holdings Corporation,
88,New York Life Insurance Company,
89,Mondelez International Inc.,
90,American Express Company,
91,Nationwide Mutual Insurance Co.,
92,The Allstate Corporation,
93,Tyson Foods Inc.,
94,Supervalu Inc.,
95,TIAA-CREF,
96,Massachusetts Mutual Life Insurance Company,
97,CIGNA Corporation,
98,DIRECTV,
99,General Dynamics Corporation,
100,Philip Morris International Inc.,
101,3M Company,
102,Time Warner Inc.,
103,Halliburton Company,
104,Publix Super Markets Inc.,
105,International Paper Company,
106,McDonald’s Corporation,
107,Macy’s Inc.,
108,The TJX Companies Inc.,
109,Fluor Corporation,
110,Northwestern Mutual Life Insurance Company Inc.,
111,Tech Data Corporation,
112,American Airlines Group Inc.,
113,The Hartford Financial Services Group Inc.,
114,The Travelers Companies Inc.,
115,Nike Inc.,
116,Occidental Petroleum Corporation,
117,Avnet Inc.,
118,Rite Aid Corporation,
119,Exelon Corporation,
120,Qualcomm Incorporated,
121,Emerson Electric Co.,
